Player,Team,POS,R/L,G,GS,IP,W,L,SV,HLD,ERA,SO,BB,H,ER,LD%
Max Meyer,MIA,SP,R,16.2,16.2,81,4.2,4.9,0,0,4.33,72.2,29.9,80.1,39.4,20.1
Zack Greinke,FA,SP,R,16.2,16.2,79.4,4.3,4.7,0,0,4.62,55.3,16.2,89.8,40.8,21
Daniel Lynch IV,KC,SP,L,14.3,14.3,78.7,4.5,4.6,0,0,4.76,61.1,27.3,80.6,41,20.4
Domingo German,FA,SP,R,25.9,9.7,77.7,7,6.3,0,0,4.29,72.9,23.5,76.2,37,20.2
Cole Irvin,BAL,SP,L,34,9.7,77.7,4.2,4.2,0,2,4.3,60.3,17.7,81.2,37.2,20.4
Tyler Wells,BAL,SP,R,34,9.7,76.7,4.3,4.1,0,5,4.48,70.9,22.7,70.2,38.2,20.2
Aaron Ashby,MIL,SP,L,34,9.7,75.2,4.2,3.6,0,6,3.58,83.9,33.3,66.9,29.6,19.7
Alex Cobb,SF,SP,R,13.9,13.9,75.1,4.6,3.7,0,0,3.69,67.3,20.8,74.8,31.3,20.2
Max Scherzer,TEX,SP,R,13.1,13.1,74.7,4.9,3.5,0,0,3.93,82.8,19.5,64.5,32.1,20
Austin Voth,SEA,RP,R,45.4,4.9,73.1,3.7,4,0,6,4.44,69,25.3,73.2,37.3,20.1
Jose Suarez,LAA,SP,L,29.2,13,72.4,2.9,4.7,0,5,4.6,64,28.2,73.6,36.2,20.3
Zack Thompson,STL,SP,L,32.4,8.1,72.1,4.1,3.6,0,2,4.1,67.9,33,69,33.9,20.1
Osvaldo Bido,OAK,SP,R,45.4,4.9,72.1,3.2,4.3,0,4,4.41,65,29.7,69.3,36.5,19.9
Joan Adon,WSH,SP,R,37.3,4.9,71.6,3.3,4.1,0,3,4.49,62.8,28.7,72.5,34.7,19.9
Nick Nastrini,CHW,SP,R,14.3,14.3,71.5,3.2,5,0,0,4.97,64.6,32.5,73,39.2,21.1
Quinn Priester,PIT,SP,R,14.3,14.3,71.5,3.8,4.3,0,0,4.48,55,30.3,74.2,35.8,20.4
David Peterson,NYM,SP,L,23.4,11.7,71.4,4.1,3.4,0,3,3.57,75.2,28.4,68.9,29.5,20.3
Shawn Armstrong,TB,RP,R,64.8,0,71.3,3.6,3.4,0,16,3.82,73.6,21.9,64.5,30.8,19.8
Chris Stratton,KC,RP,R,64.8,0,71.3,3.5,3.5,0,12,4.27,65.6,27,69.4,33.3,20.1
Matt Strahm,PHI,RP,L,64.8,0,71.3,3.9,3.1,0,10,3.55,83.1,21.5,58.6,27.6,19.8
Joe Mantiply,ARI,RP,L,64.8,0,71.3,3.6,3.3,0,6,3.92,58.8,21.8,73.2,30.8,20.5
Fernando Cruz,CIN,RP,R,64.8,0,71.3,3.7,3.2,0,15,4.03,89,30.5,59.8,29.5,19.7
Scott Barlow,CLE,RP,R,64.8,0,71.3,3.6,3.4,2,12,3.88,77.9,27.5,64.3,30.5,20
Jordan Weems,WSH,RP,R,64.8,0,71.3,3.3,3.7,0,14,4.5,71,31.2,63.8,34.6,19.9
Josh Sborz,TEX,RP,R,64.8,0,71.3,3.8,3.2,1,16,3.68,82.9,28.5,60.5,28.7,19.6
Miguel Diaz,DET,RP,R,64.8,0,71.3,3.4,3.6,0,19,4.11,66.6,29.2,67,33,19.8
Huascar Brazoban,MIA,RP,R,64.8,0,71.3,3.5,3.5,0,19,3.94,75.7,33.2,63.8,31.5,19.7
Ian Hamilton,NYY,RP,R,64.8,0,71.3,3.9,3.1,0,14,3.61,79.8,31.8,62.8,28.1,19.7
Tyler Rogers,SF,RP,R,64.8,0,71.3,3.3,3.6,0,19,4.29,51.8,21.7,77,34.5,21.1
Jake Bird,COL,RP,R,64.8,0,71.3,3.6,3.4,0,19,4.49,59.7,27.1,75,30.9,19.9
Brock Burke,TEX,RP,L,64.8,0,71.3,3.7,3.3,0,19,3.89,71.8,22.6,65.6,30.4,19.8
Trevor Megill,MIL,RP,R,64.8,0,71.3,3.8,3.2,0,14,3.49,90.5,28,58.7,27.4,19.1
Ryan Thompson,ARI,RP,R,64.8,0,71.3,3.6,3.4,1,16,4.13,59.2,25.3,71.3,32.5,20.5
Shintaro Fujinami,NYM,RP,R,64.8,0,71.3,3.6,3.4,0,13,3.86,81.9,32,60.6,31.8,19.4
Tyler Holton,DET,RP,L,64.8,0,71.3,3.5,3.5,0,19,3.9,63.9,22.4,65.7,31.3,20.2
Dauri Moreta,PIT,RP,R,64.8,0,71.3,3.5,3.5,0,6,4.03,76,29.7,59.7,32.2,19.7
John King,STL,RP,L,64.8,0,71.3,3.7,3.3,0,19,3.77,50.4,24,76.7,30.9,20.1
Jose Soriano,LAA,RP,R,64.8,0,71.3,3.7,3.3,0,19,3.83,82.2,35.2,61,29.7,19.6
Lucas Erceg,OAK,RP,R,64.8,0,71.3,3.4,3.6,3,19,3.64,83.5,35.5,59.7,29.8,19.4
Bryse Wilson,MIL,RP,R,64.8,0,71.3,3.4,3.6,0,6,4.54,58.4,20,73.8,35.6,20.1
Andre Pallante,STL,RP,R,64.8,0,71.3,3.7,3.3,0,19,3.7,55.7,27.8,72.8,30.3,19.9
Josh Winckowski,BOS,RP,R,64.8,0,71.3,3.7,3.3,0,19,4.12,64.3,23.4,72.1,30.5,19.6
Kevin Kelly,TB,RP,R,64.8,0,71.3,3.5,3.5,2,19,4.15,61.2,23.6,71.4,33.4,20.4
Shane Baz,TB,SP,R,22.4,12.2,71.2,4.2,3.4,0,1,3.71,78.9,21.8,62.2,29.8,19.7
Michael Lorenzen,FA,SP,R,25.9,9.7,69.8,6.2,6.5,0,0,4.54,56.6,24.1,73.6,35.2,20.2
Yonny Chirinos,MIA,SP,R,32.4,8.1,69.7,3.3,4.3,0,2,4.83,48.4,22.6,76.5,37.8,20.4
Brent Suter,CIN,RP,L,63.2,0,69.5,3.4,3.4,0,13,4.65,58.3,28.1,74.5,33.2,21.1
Robert Garcia,WSH,RP,L,63.2,0,69.5,3.3,3.5,0,19,4.17,69.5,32.1,63.9,31.3,20
AJ Smith-Shawver,ATL,SP,R,25.9,9.7,68.9,4.2,3.3,0,2,4.69,70.5,31.1,62.6,35.3,19.9
Grant Anderson,TEX,RP,R,48.6,0,68,3.4,3.2,0,15,4.2,64.2,26.8,65.8,31.3,20.2
Luis Patino,SD,RP,R,51.8,3.2,67.9,3.1,3.8,0,5,4.7,56.9,30.1,70.6,36.5,20
Ray Kerr,ATL,RP,L,61.6,0,67.8,3.7,2.9,0,6,3.87,76.4,31,59.6,28.7,19.8
Ricky Tiedemann,TOR,SP,L,13.3,13.3,66.5,4,3.4,0,0,4.03,69.6,28.1,62.3,29.8,20.9
Owen White,TEX,SP,R,25.9,9.7,66.3,3.5,3.9,0,2,4.96,49.1,26.8,72.4,36.1,20.4
Ben Lively,CLE,RP,R,35.6,3.2,66.2,3.4,3.5,0,3,4.37,58.9,18.1,67.8,31.9,20.3
Drew Smyly,CHC,SP,L,37.3,4.9,66.1,3.3,3.5,0,3,4.26,64.7,20.8,63.5,31,20.2
Michael Tonkin,NYM,RP,R,59.9,0,65.9,3.3,3.2,0,6,4.01,67.3,22.1,59.3,30.6,20
Ryan Walker,SF,RP,R,59.9,0,65.9,3.4,3.1,0,6,3.64,71.2,25.2,59.4,27.1,19.7
Nick Mears,COL,RP,R,59.9,0,65.9,3.1,3.3,0,6,5.04,63.3,36.3,62.9,32.1,20
Luke Jackson,SF,RP,R,64.8,0,64.8,3.2,3.2,0,13,3.97,64.9,27.1,60.2,29,19.9
Hector Neris,CHC,RP,R,64.8,0,64.8,3.2,3.2,3,16,4.11,69.2,26.5,55.3,29.3,20.2
Rafael Montero,HOU,RP,R,64.8,0,64.8,3.4,3,2,16,4,69.7,25.4,60.4,28.8,19.8
Jose Leclerc,TEX,RP,R,64.8,0,64.8,3.3,3.1,20,13,4.2,70.8,29.2,54,29.8,19.8
Carlos Estevez,LAA,RP,R,64.8,0,64.8,3.2,3.2,20,10,4.33,69.2,27.4,58.4,30.5,19.7
Joe Jimenez,ATL,RP,R,64.8,0,64.8,3.5,2.8,0,19,4.01,76.7,21.9,54.6,28.4,19.6
Reynaldo Lopez,ATL,RP,R,64.8,0,64.8,3.6,2.7,0,19,3.76,74.6,23,53.9,26.6,19.4
Raisel Iglesias,ATL,RP,R,64.8,0,64.8,3.7,2.7,30,3,3.63,74.4,18.7,56.5,25.7,19.7
Rich Hill,FA,SP,L,24.3,8.1,64.8,5.8,6,0,0,4.49,56,21.6,70.6,32.3,20.8
Ryan Brasier,LAD,RP,R,64.8,0,64.8,3.4,2.9,0,19,3.95,66.5,20.5,59.2,28.6,19.7
Clay Holmes,NYY,RP,R,64.8,0,64.8,3.6,2.7,30,0,3.36,67.4,24.3,59.3,23.8,19.7
Joel Payamps,MIL,RP,R,64.8,0,64.8,3.3,3.1,0,19,3.92,63.2,20.5,61.1,27.9,19.7
Aaron Bummer,ATL,RP,L,64.8,0,64.8,3.8,2.6,1,16,3.25,74.3,29,56.6,23,20
Jose Alvarado,PHI,RP,L,64.8,0,64.8,3.7,2.7,15,16,3.05,84.6,30.6,49.9,21.6,19.4
Ryan Borucki,PIT,RP,L,64.8,0,64.8,3.2,3.2,0,19,4.15,57.3,26.2,60.3,30.1,20
Evan Phillips,LAD,RP,R,64.8,0,64.8,3.6,2.8,30,3,3.52,74.5,21.3,54,25.5,19.6
Kyle Finnegan,WSH,RP,R,64.8,0,64.8,3.1,3.2,20,13,4.07,64.5,25.2,58.8,28.5,19.5
Emilio Pagan,CIN,RP,R,64.8,0,64.8,3.2,3.1,0,12,4.54,71.2,24.9,57.4,30.3,19.6
Jonathan Hernandez,TEX,RP,R,64.8,0,64.8,3.3,3.1,2,16,4.06,63.8,31.5,61.7,28.8,19.7
Bryan Abreu,HOU,RP,R,64.8,0,64.8,3.7,2.7,0,19,3.28,88.2,28.5,48.8,23.6,19.4
Kevin Ginkel,ARI,RP,R,64.8,0,64.8,3.4,3,5,16,3.72,69.7,25.5,55.8,26.7,19.7
Alex Lange,DET,RP,R,64.8,0,64.8,3.2,3.2,20,6,3.87,72.8,33.3,53.9,28.2,19.9
Tanner Scott,MIA,RP,L,64.8,0,64.8,3.6,2.8,20,10,3.01,84.2,29.1,49.8,21.9,19.5
Erik Swanson,TOR,RP,R,64.8,0,64.8,3.3,3,0,19,3.88,71.2,21.1,56.9,27.9,19.9
Jacob Webb,BAL,RP,R,64.8,0,64.8,3.2,3.2,0,19,4.27,61.8,27.5,59.3,30.8,20
Julian Merryweather,CHC,RP,R,64.8,0,64.8,3.4,3,0,19,3.55,77.9,26.9,53.4,25.3,19.3
Brusdar Graterol,LAD,RP,R,64.8,0,64.8,3.5,2.8,5,19,3.59,58.8,18.7,62,26,19.3
Emmanuel Clase,CLE,RP,R,64.8,0,64.8,3.5,2.8,35,0,3.2,67.9,17.6,56.8,22.9,19
Robert Suarez,SD,RP,R,64.8,0,64.8,3.3,3.1,12,19,3.76,69.6,25.1,54.7,27.8,19.4
Tanner Rainey,WSH,RP,R,64.8,0,64.8,3,3.3,0,6,4.36,70.4,30.2,55.1,30.5,19.9
James McArthur,KC,RP,R,64.8,0,64.8,3.2,3.1,5,16,4.06,59,21.8,62.2,28.8,19.9
Trevor Stephan,CLE,RP,R,64.8,0,64.8,3.2,3.1,3,19,4.01,70.2,23.8,59,28.7,19.8
Ian Gibaut,CIN,RP,R,64.8,0,64.8,3.2,3.2,0,19,4.62,63.5,27.5,64,30.7,19.8
Taylor Clarke,MIL,RP,R,64.8,0,64.8,3.2,3.2,0,19,4.18,67.6,21.9,61.4,29.8,19.7
Phil Maton,TB,RP,R,64.8,0,64.8,3.1,3.2,0,14,4.28,64,25.4,61.4,31.3,20.7
Alexis Diaz,CIN,RP,R,64.8,0,64.8,3.3,3.1,35,0,4.39,77.8,33.2,52.5,29.2,20
Justin Lawrence,COL,RP,R,64.8,0,64.8,3.3,3.1,10,16,4.38,62.3,30.2,61.8,27.4,19.9
Craig Kimbrel,BAL,RP,R,64.8,0,64.8,3.4,2.9,15,16,3.66,79,27,49.9,26.4,19.7
Camilo Doval,SF,RP,R,64.8,0,64.8,3.4,2.9,35,0,3.32,77.6,27.1,52,24.3,19.4
Yennier Cano,BAL,RP,R,64.8,0,64.8,3.4,3,7,19,3.61,60.8,23.2,61.2,26.1,19.6
Carmen Mlodzinski,PIT,RP,R,64.8,0,64.8,3.1,3.2,0,19,4.29,58.9,26.8,61.2,31.1,19.8
John Schreiber,KC,RP,R,64.8,0,64.8,3.3,3.1,0,16,3.91,62.2,25.3,60.2,27.7,20.1
Jason Foley,DET,RP,R,64.8,0,64.8,3.2,3.1,7,19,3.74,56.8,20,64,27.3,19.4
Carlos Hernandez,KC,RP,R,64.8,0,64.8,3.3,3.1,0,19,4.01,66.9,25.6,55.9,28.4,19.2
Tom Cosgrove,SD,RP,L,64.8,0,64.8,3.1,3.2,0,14,4.1,62.5,28.7,59.5,30.4,20.4
Will Vest,DET,RP,R,64.8,0,64.8,3.3,3.1,0,16,3.62,67.5,23.1,58,26.4,19.6
Garrett Crochet,CHW,RP,L,64.8,0,64.8,3.2,3.1,0,6,3.64,77.3,31.2,52.7,26.1,19.7
Kai-Wei Teng,SF,SP,R,32.4,8.1,64.8,3.3,3.7,0,2,4.42,63.4,30.3,63.1,32.3,21.1
Mason Black,SF,SP,R,32.4,8.1,64.8,3.4,3.6,0,2,4.17,62.7,23.3,63.4,30.5,21.1
Luis Garcia,LAA,RP,R,64.8,0,64.8,3.3,3.1,0,13,3.99,61.8,23.6,61.8,28.1,19.5
Ryan Pressly,HOU,RP,R,64.8,0,64.8,3.6,2.7,5,19,3.4,74.8,19.6,56.2,24.5,19.7
Kirby Yates,TEX,RP,R,64.8,0,64.8,3.3,3.1,0,16,4.12,73.6,31.6,52.7,29.3,20.1
Joe Kelly,LAD,RP,R,64.8,0,64.8,3.8,2.6,0,19,3.07,83.1,27.4,52,22.3,19.3
Zach Davies,WSH,SP,R,25.9,9.7,64.7,5,7.3,0,0,5.08,48.5,25.1,75.4,35.5,20.9
Hyun Jin Ryu,FA,SP,L,25.9,9.7,64.7,6.3,5.9,0,0,4.21,48.3,15.9,71.6,30.3,21
Huascar Ynoa,ATL,SP,R,25.9,9.7,64.7,4.3,2.7,0,2,4.16,66.3,23.1,61.1,29.4,19.7
Hayden Wesneski,CHC,RP,R,35.6,3.2,64.6,3.3,3.3,0,3,4.06,62.2,21,59.8,28.9,19.9
Robbie Ray,SF,SP,L,12.9,12.9,64.5,3.5,3.6,0,0,4.17,69.6,22,58.5,30.4,20.1
Buck Farmer,CIN,RP,R,58.3,0,64.1,3.1,3.2,0,13,4.86,63.6,28.6,61.2,32,20.1
Trent Thornton,SEA,RP,R,58.3,0,64.1,3,3.3,0,15,4.46,58,23.3,63.2,32.8,19.9
Noah Syndergaard,FA,SP,R,13,13,63.7,3.3,4.2,0,0,5.23,42.6,15.7,71.7,37,20.8
Emerson Hancock,SEA,SP,R,25.9,9.7,63.7,3.3,3.8,0,2,4.71,52.6,22.3,66.5,34.5,20.4
Josh Fleming,PIT,RP,L,35.6,3.2,63.6,3.1,3.3,0,6,4.17,37.6,19.4,73.7,29.7,20.5
Joey Lucchesi,NYM,SP,L,22,9.8,63.2,3.6,3.4,0,1,4.33,51.3,21.7,66.4,31.6,20.8
Matthew Liberatore,STL,SP,L,32.4,8.1,63.2,3.4,3.2,0,7,4.02,57.1,23.8,61.1,29.1,20.1
Xzavion Curry,CLE,SP,R,45.4,4.9,63.2,2.6,3.9,0,4,4.89,51.9,20.3,65.6,34.1,20.2
Nick Sandlin,CLE,RP,R,63.2,0,63.2,3.1,3.1,0,17,4.21,65.4,28.7,55.1,29.3,20.3
Ken Waldichuk,OAK,SP,L,20.4,10.2,63.2,2.7,4.1,0,1,4.35,59.8,27.7,60.1,31.6,20.1
Chris Devenski,TB,RP,R,56.7,0,62.4,3,3.1,0,17,4.37,58.5,20.1,60,30.8,20
Phil Bickford,NYM,RP,R,56.7,0,62.4,3,3.1,0,6,4.3,65.7,25.7,56.9,31.1,20.1
Jorge Alcala,MIN,RP,R,56.7,0,62.4,3.1,3,0,11,4.01,64,24,55.7,28.7,19.6
Eli Morgan,CLE,RP,R,56.7,0,62.4,3.1,3.1,0,12,4.15,65.6,18.7,58.1,28.6,20
Garrett Whitlock,BOS,RP,R,56.7,0,62.4,3.4,2.7,0,17,3.77,64.5,14,57.8,24.5,19.6
Kody Funderburk,MIN,RP,L,56.7,0,62.4,3.3,2.9,0,11,3.49,63.3,24.4,57.2,24.9,20.2
Joey Wentz,DET,RP,L,43.7,3.2,62,2.9,3.4,0,4,4.18,60.3,22.9,58.5,29.2,19.9
Bryce Jarvis,ARI,RP,R,39.7,2,62,2.8,3.3,0,4,4.42,55.2,24.7,59.6,30.3,19.9
Jhoan Duran,MIN,RP,R,61.6,0,61.6,3.6,2.4,35,0,2.54,84.7,22.8,44,17.9,18.7
Gregory Santos,SEA,RP,R,61.6,0,61.6,3.1,2.9,2,18,3.62,66,23.1,56.4,25.6,19.3
David Bednar,PIT,RP,R,61.6,0,61.6,3.2,2.8,30,0,3.53,70.3,22,51,24.3,19.5
Lance McCullers Jr.,HOU,SP,R,20.4,10.2,61.2,3.9,2.8,0,1,4.09,60.8,23.8,58.9,27.8,20.2
Sawyer Gipson-Long,DET,SP,R,20.4,10.2,61.2,3.1,3.6,0,1,4.21,54.6,17.6,59.9,29,20.2
Jared Jones,PIT,SP,R,12.2,12.2,61,3.2,3.8,0,0,4.71,51.3,25.1,62.7,32.1,21.1
Deivi Garcia,CHW,RP,R,43.7,3.2,60.6,2.6,3.7,0,4,5.12,52.5,30.7,62.8,34.3,20.1
Aroldis Chapman,PIT,RP,L,59.9,0,59.9,3.4,2.4,3,18,2.84,88,33.2,37.8,19,19.2
George Soriano,MIA,RP,R,59.9,0,59.9,2.8,3.1,0,6,4.5,55.1,26,56.8,30.3,19.9
Colin Selby,PIT,RP,R,59.9,0,59.9,3,2.9,0,18,3.96,61.5,30.4,54.6,26.6,19.6
Gavin Hollowell,COL,RP,R,53.5,0,58.9,2.8,3,0,10,5.18,51.2,25.4,58.7,29.5,20.1
Nick Robertson,STL,RP,R,53.5,0,58.9,3.1,2.7,0,5,3.76,59.4,22.3,53.6,25.4,19.5
Yimi Garcia,TOR,RP,R,64.8,0,58.3,3,2.7,1,16,3.75,61.9,17.6,52.9,24.3,19.6
Adam Ottavino,NYM,RP,R,64.8,0,58.3,2.8,2.9,5,19,4.2,58.6,23.9,52.7,28.3,20.2
Pierce Johnson,ATL,RP,R,64.8,0,58.3,3.3,2.4,3,19,3.58,73.6,23.5,49.1,22.8,19.7
Taylor Rogers,SF,RP,L,64.8,0,58.3,3,2.7,3,19,3.53,67.1,21.7,50.1,23.3,19.9
Lucas Sims,CIN,RP,R,64.8,0,58.3,2.8,2.9,3,19,4.81,66.4,30.2,49.6,28.8,20.2
Steven Okert,MIN,RP,L,64.8,0,58.3,2.9,2.8,2,19,3.83,69,24.3,47.6,25.6,20
Robert Stephenson,LAA,RP,R,64.8,0,58.3,3,2.7,12,16,3.97,68.7,21.7,47.7,25.2,19.5
JT Chargois,MIA,RP,R,64.8,0,58.3,2.8,2.9,0,6,4.18,54.3,23.1,54.8,27.3,19.7
Paul Sewald,ARI,RP,R,64.8,0,58.3,3,2.7,25,3,4,66.3,22.5,47.4,25.7,20.2
Josh Hader,HOU,RP,L,64.8,0,58.3,3.3,2.4,35,3,3.36,84.4,25.9,41.8,21.7,19.7
Trevor Gott,OAK,RP,R,64.8,0,58.3,2.6,3.1,3,16,4.28,52.7,21.5,56.6,28.6,20.1
Miguel Castro,ARI,RP,R,64.8,0,58.3,2.9,2.8,3,16,4.22,56.4,26.2,54.1,27.1,19.7
Ryne Stanek,FA,RP,R,64.8,0,58.3,2.9,2.8,0,13,4.13,64.1,26.3,48.9,26.8,19.5
Jeff Hoffman,PHI,RP,R,64.8,0,58.3,3,2.7,0,10,3.88,68.1,24.6,46.2,24.7,19.6
Kenley Jansen,BOS,RP,R,64.8,0,58.3,3,2.7,30,0,4.17,68.6,23.7,46.9,25.3,19.8
Jake Diekman,NYM,RP,L,64.8,0,58.3,3,2.7,0,13,3.7,72.1,32,46.7,25,19.9
Jesse Chavez,CHW,RP,R,64.8,0,58.3,2.7,3,0,19,4.09,56.4,20.9,56.8,26.3,20.3
Hoby Milner,MIL,RP,L,64.8,0,58.3,2.9,2.8,0,19,3.94,54.1,17.4,58.4,25.2,20.6
Jose Cuas,CHC,RP,R,64.8,0,58.3,2.8,2.9,0,15,4.24,54.9,26.5,56.7,27.2,20.2
A.J. Minter,ATL,RP,L,64.8,0,58.3,3.4,2.3,2,19,3.47,70.2,19.6,48.2,22.1,19.6
Colin Poche,TB,RP,L,64.8,0,58.3,2.8,2.9,4,19,4.25,60.5,24.3,50.8,28,20.2
Drew Smith,NYM,RP,R,64.8,0,58.3,2.8,2.9,0,19,4.31,61.2,24.1,53.2,29.1,19.9
Seranthony Dominguez,PHI,RP,R,64.8,0,58.3,3,2.7,5,16,3.97,61.8,24.2,51.1,25.2,19.5
Justin Topa,MIN,RP,R,64.8,0,58.3,2.9,2.8,3,19,3.86,49.9,20.1,59,25.8,19.9
Tyler Kinley,COL,RP,R,64.8,0,58.3,2.9,2.8,7,16,4.75,55.1,22.3,56.4,26.8,19.6
Tayler Saucedo,SEA,RP,L,64.8,0,58.3,2.9,2.8,0,6,3.85,55.5,24,56.5,25.8,20.3
Devin Williams,MIL,RP,R,64.8,0,58.3,3.2,2.5,35,0,3.15,79.2,26.9,42.3,20.2,20
Gregory Soto,PHI,RP,L,64.8,0,58.3,3.1,2.6,2,19,3.63,66.5,26.4,47.6,23.1,19.4
Griffin Jax,MIN,RP,R,64.8,0,58.3,3,2.7,0,19,3.73,60.7,18.8,51.9,24.9,19.5
Mark Leiter Jr.,CHC,RP,R,64.8,0,58.3,2.9,2.8,0,19,3.84,61.6,20.1,51.8,24.7,20.2
Genesis Cabrera,TOR,RP,L,64.8,0,58.3,2.9,2.8,0,19,4.18,59.4,26.2,52.8,27,19.9
Sam Hentges,CLE,RP,L,64.8,0,58.3,3.1,2.6,0,19,3.41,63.9,21.2,52.7,21.9,19.7
Caleb Ferguson,NYY,RP,L,64.8,0,58.3,3.2,2.5,0,19,3.46,68.4,22.9,50.7,21.9,19.6
Enyel De Los Santos,SD,RP,R,64.8,0,58.3,2.9,2.8,0,19,3.87,62.3,23.7,50.7,25.8,19.8
Matt Brash,SEA,RP,R,64.8,0,58.3,3.2,2.5,10,16,3.11,77.7,24.9,47.6,20.8,19.4
Andrew Nardi,MIA,RP,L,64.8,0,58.3,3,2.8,5,19,3.71,67.2,25.3,49.6,24.3,19.9
Alex Vesia,LAD,RP,L,64.8,0,58.3,3.2,2.5,0,18,3.65,73.6,24.4,47.8,23.8,19.9
Abner Uribe,MIL,RP,R,64.8,0,58.3,3.1,2.6,0,19,3.48,75.7,31.5,45.1,22.4,19.3